id,name,type,address,city,department,website,phone,email,courses,audience,format,description,tags,verified,featured,active,mosqueeId
mosquee-clichy,Mosquée de Clichy,mosquee,Clichy,Clichy,92,,,,"coran,arabe,enfants","hommes,femmes,enfants",presentiel,"Cours hebdomadaires de Coran et arabe, classes enfants le week-end.","92,Clichy,enfants",FALSE,,TRUE,mosquee-clichy
mosquee-stains,Grande Mosquée de Stains,mosquee,Stains,Stains,93,,,,"coran,arabe,tajwid,enfants,memorisation","hommes,femmes,enfants",presentiel,Mosquée avec programme éducatif solide incluant mémorisation du Coran et cours d'arabe.,"93,hifz,enfants,mémorisation",FALSE,,TRUE,mosquee-stains
mosquee-bobigny,Centre Islamique de Bobigny,mosquee,Bobigny,Bobigny,93,,,,"coran,arabe,sciences-islamiques","hommes,femmes,enfants",presentiel,Centre islamique actif proposant des cours de coran et d'arabe réguliers.,"93,Bobigny",FALSE,,TRUE,mosquee-bobigny
mosquee-saint-denis,Grande Mosquée de Saint-Denis,mosquee,Saint-Denis,Saint-Denis,93,,,,"coran,arabe,enfants,sciences-islamiques","hommes,femmes,enfants",presentiel,Une des plus grandes mosquées du 93 avec programme éducatif varié pour tous les publics.,"93,Saint-Denis,enfants",FALSE,,TRUE,mosquee-saint-denis
mosquee-creteil,Mosquée de Créteil,mosquee,Créteil,Créteil,94,,,,"coran,arabe,enfants","hommes,femmes,enfants",presentiel,Mosquée proposant des cours réguliers de Coran et d'arabe pour enfants et adultes.,"94,Créteil",FALSE,,TRUE,mosquee-creteil
mosquee-choisy-le-roi,Mosquée de Choisy-le-Roi,mosquee,Choisy-le-Roi,Choisy-le-Roi,94,,,,"coran,arabe,tajwid,enfants,memorisation","hommes,femmes,enfants",presentiel,Mosquée proposant des cours de Coran avec mémorisation (Hifz) pour enfants et adultes. Cours d'arabe tous niveaux.,"94,Choisy-le-Roi,hifz,mémorisation,enfants",FALSE,,TRUE,mosquee-choisy-le-roi
mosquee-orly,Mosquée d'Orly,mosquee,Orly,Orly,94,,,,"coran,arabe,enfants,sciences-islamiques","hommes,femmes,enfants",presentiel,Mosquée d'Orly avec cours de Coran et arabe réguliers pour adultes et enfants.,"94,Orly,enfants",FALSE,,TRUE,mosquee-orly
mosquee-vitry,Grande Mosquée de Vitry-sur-Seine,mosquee,Vitry-sur-Seine,Vitry-sur-Seine,94,,,,"coran,arabe,enfants","hommes,femmes,enfants",presentiel,Programme éducatif complet avec cours de Coran et d'arabe pour tous les âges.,"94,Vitry,enfants",FALSE,,TRUE,mosquee-vitry
mosquee-evry,Grande Mosquée d'Évry-Courcouronnes,mosquee,Évry-Courcouronnes,Évry-Courcouronnes,91,https://www.mosquee-evry.fr,,,"coran,tajwid,enfants,sciences-islamiques","hommes,femmes,enfants",presentiel,Grande mosquée d'Essonne avec l'école Al-Houda pour enfants. Soirées coraniques et conférences régulières.,"91,école Al-Houda,enfants,Évry",TRUE,TRUE,TRUE,mosquee-evry
mosquee-mantes,Grande Mosquée de Mantes-la-Jolie,mosquee,Mantes-la-Jolie,Mantes-la-Jolie,78,,,,"coran,arabe,sciences-islamiques,enfants","hommes,femmes,enfants",presentiel,Grande mosquée des Yvelines avec programme éducatif complet. Référence dans la région.,"78,Mantes,enfants",FALSE,,TRUE,mosquee-mantes
mosquee-versailles,Mosquée de Versailles,mosquee,Versailles,Versailles,78,,,,"coran,arabe,enfants","hommes,femmes,enfants",presentiel,Cours de Coran et arabe le week-end. Cours enfants le samedi matin.,"78,Versailles,enfants",FALSE,,TRUE,mosquee-versailles
mosquee-meaux,Grande Mosquée de Meaux,mosquee,Meaux,Meaux,77,,,,"coran,arabe,tajwid,enfants,sciences-islamiques","hommes,femmes,enfants",presentiel,Grande mosquée de Seine-et-Marne. Cours de Coran et arabe tous niveaux. Programme enfants le week-end.,"77,Meaux,enfants",FALSE,,TRUE,mosquee-meaux
mosquee-melun,Mosquée de Melun,mosquee,Melun,Melun,77,,,,"coran,arabe,enfants","hommes,femmes,enfants",presentiel,Cours de Coran et langue arabe pour adultes et enfants. Cours particuliers disponibles sur demande.,"77,Melun,enfants",FALSE,,TRUE,mosquee-melun
mosquee-chelles,Mosquée de Chelles,mosquee,Chelles,Chelles,77,,,,"coran,arabe,enfants,memorisation","hommes,femmes,enfants",presentiel,Cours Coran et hifz pour enfants et adultes. Séances de mémorisation encadrées.,"77,Chelles,hifz",FALSE,,TRUE,mosquee-chelles
mosquee-sarcelles,Mosquée Al-Rahma — Sarcelles,mosquee,Sarcelles,Sarcelles,95,,,,"coran,arabe,tajwid,enfants,sciences-islamiques,memorisation","hommes,femmes,enfants",presentiel,"Mosquée très active de Sarcelles avec programme éducatif complet : hifz, arabe, sciences islamiques. Forte communauté, nombreux cours.","95,Sarcelles,hifz,mémorisation,enfants",FALSE,TRUE,TRUE,mosquee-sarcelles
mosquee-cergy,Mosquée de Cergy,mosquee,Cergy,Cergy,95,,,,"coran,arabe,enfants,sciences-islamiques","hommes,femmes,enfants",presentiel,"Centre islamique de Cergy, cours de Coran et arabe réguliers, conférences mensuelles.","95,Cergy,enfants",FALSE,,TRUE,mosquee-cergy
mosquee-argenteuil,Grande Mosquée d'Argenteuil,mosquee,Argenteuil,Argenteuil,95,,,,"coran,arabe,tajwid,enfants","hommes,femmes,enfants",presentiel,Une des grandes mosquées du Val-d'Oise avec programme éducatif adultes et enfants.,"95,Argenteuil,enfants",FALSE,,TRUE,mosquee-argenteuil
iesh-enligne,IESH — Institut Européen des Sciences Humaines,en-ligne,Château-Chinon (siège) + antenne Paris,Paris / National,75,https://iesh.org,,,"arabe,sciences-islamiques,fiqh,aqida,tafsir,hadith,sirah","hommes,femmes","presentiel,distanciel","L'un des instituts islamiques les plus reconnus de France. Formation diplômante en sciences islamiques et langue arabe. Plusieurs niveaux, hommes et femmes. Référence nationale.","diplômant,UOIF,arabe,sciences islamiques,certifié",TRUE,TRUE,TRUE,
al-kalam-enligne,Al-Kalam Institut,en-ligne,En ligne,En ligne,00,https://alkalam.fr,,,"arabe,coran,tajwid,sciences-islamiques","hommes,femmes",distanciel,"Plateforme française de cours islamiques en ligne. Arabe classique, Coran, Tajwid et sciences islamiques par des professeurs francophones qualifiés.","en ligne,arabe,Coran,francophone",FALSE,,TRUE,
bayyinah-tv,Bayyinah TV — Nouman Ali Khan,en-ligne,En ligne,En ligne,00,https://bayyinahtv.com,,,"arabe,coran,tafsir,sciences-islamiques","hommes,femmes",distanciel,"Plateforme mondiale d'apprentissage de l'arabe coranique et du tafsir avec Nouman Ali Khan. Contenu en anglais, sous-titres disponibles. Abonnement mensuel ~13$/mois.","en ligne,arabe coranique,anglais,tafsir,international",TRUE,TRUE,TRUE,
qalam-institute,Qalam Institute,en-ligne,En ligne,En ligne,00,https://qalaminstitute.com,,,"sciences-islamiques,fiqh,aqida,sirah,hadith","hommes,femmes",distanciel,"Institut américain proposant des cours de sciences islamiques en ligne en anglais. Programme Alim complet, cours ponctuels accessibles.","en ligne,anglais,sciences islamiques,alim",FALSE,,TRUE,
alhadith-fr,Al-Hadîth.fr — Cours en ligne,en-ligne,En ligne,En ligne,00,https://alhadith.fr,,,"sciences-islamiques,aqida,fiqh,hadith","hommes,femmes",distanciel,"Cours en ligne francophones de sciences islamiques, aqida et fiqh. Diffusion de cours de grands savants en français.","en ligne,francophone,gratuit,sciences islamiques",FALSE,,TRUE,
mosquee-enligne-live,Cours Live — Mosquées sur YouTube,en-ligne,En ligne (YouTube),En ligne,00,,,,"coran,tajwid,arabe,sciences-islamiques,tafsir","hommes,femmes",distanciel,"De nombreuses mosquées françaises diffusent leurs cours en live sur YouTube (Grande Mosquée de Paris, Mosquée de Stains, Institut Al-Ghazali…). Gratuit et accessible depuis toute la France.","en ligne,gratuit,YouTube,live,mosquées",TRUE,,TRUE,
professeur-egyptien-tajwid,Sheikh Ahmed — Correction Tajwid (Égypte),professeur,En ligne (Zoom/Skype),En ligne,00,,,,"coran,tajwid,memorisation","hommes,femmes",distanciel,"Professeur arabophone basé en Égypte, correction de récitation et Tajwid en cours particuliers. Tarifs très attractifs (5-15€/h). Ijaza possible pour les avancés.","particulier,Tajwid,prix attractif,Égypte,Ijaza",FALSE,TRUE,TRUE,
